iter	Passed	Remaining
225	12837	43967
226	12898	43921
227	12950	43849
228	13008	43797
229	13064	43738
230	13125	43695
231	13181	43635
232	13236	43571
233	13288	43498
234	13302	43304
235	13359	43249
236	13414	43185
237	13471	43132
238	13525	43068
239	13584	43016
240	13639	42956
241	13703	42923
242	13754	42849
243	13809	42785
244	13866	42731
245	13921	42668
246	13980	42620
247	14032	42551
248	14082	42472
249	14139	42417
250	14207	42395
251	14267	42349
252	14323	42291
253	14377	42227
254	14435	42174
255	14494	42124
256	14554	42076
257	14618	42041
258	14689	42027
259	14752	41987
260	14805	41920
261	14871	41890
262	14927	41830
263	14988	41786
264	15054	41755
265	15116	41711
266	15178	41668
267	15234	41610
268	15288	41546
269	15347	41495
270	15402	41433
271	15452	41358
272	15506	41293
273	15568	41251
274	15627	41199
275	15691	41161
276	15754	41120
277	15812	41067
278	15867	41004
279	15920	40938
280	15978	40885
281	16036	40829
282	16089	40762
283	16147	40709
284	16203	40650
285	16259	40592
286	16310	40519
287	16365	40459
288	16421	40401
289	16475	40337
290	16533	40282
291	16591	40227
292	16643	40159
293	16698	40100
294	16754	40040
295	16812	39986
296	16871	39934
297	16933	39890
298	16995	39845
299	17054	39794
300	17119	39757
301	17184	39718
302	17248	39677
303	17309	39629
304	17372	39586
305	17429	39528
306	17494	39491
307	17551	39433
308	17610	39382
309	17668	39327
310	17728	39275
311	17784	39217
312	17839	39155
313	17898	39102
314	17955	39045
315	18008	38981
316	18060	38912
317	18116	38853
318	18167	38783
319	18221	38719
320	18276	38658
321	18335	38607
322	18389	38544
323	18442	38477
324	18503	38429
325	18561	38376
326	18618	38317
327	18671	38253
328	18735	38210
329	18793	38155
330	18848	38096
331	18910	38048
332	18969	37996
333	19021	37928
334	19081	37879
335	19142	37829
336	19197	37768
337	19254	37712
338	19307	37646
339	19359	37579
340	19414	37519
341	19473	37466
342	19526	37401
343	19579	37337
344	19635	37279
345	19693	37224
346	19751	37169
347	19802	37101
348	19851	37028
349	19909	36974
350	19963	36912
351	20022	36859
352	20079	36803
353	20135	36743
354	20188	36679
355	20245	36624
356	20301	36564
357	20356	36506
358	20414	36449
359	20471	36394
360	20528	36336
361	20581	36273
362	20650	36237
363	20712	36189
364	20767	36129
365	20830	36083
366	20884	36022
367	20944	35969
368	20999	35909
369	21052	35846
370	21108	35787
371	21167	35733
372	21221	35672
373	21278	35615
374	21327	35545
375	21380	35483
376	21434	35420
377	21485	35353
378	21540	35293
379	21599	35241
380	21661	35192
381	21721	35140
382	21788	35101
383	21848	35048
384	21910	35000
385	21967	34943
386	22017	34875
387	22075	34820
388	22126	34754
389	22180	34692
390	22234	34630
391	22297	34583
392	22347	34516
393	22406	34463
394	22462	34405
395	22518	34346
396	22573	34287
397	22629	34228
398	22683	34167
399	22733	34099
